date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:00	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-6891f28e-b30c35f9bc69eeb4;gz%22	https://wp.ditsolution.net/robots.txt		(from )
16:34:01	252636/252636	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Oct%202025%2016:34:00%20GMT	https://wp.ditsolution.net/toptech-multipurpose/	./toptech1/wp.ditsolution.net/toptech-multipurpose/index.html	(from )
16:34:03	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2002%20Oct%202025%2016:34:02%20GMT	https://wp.ditsolution.net/toptech-multipurpose/xmlrpc.php	./toptech1/wp.ditsolution.net/toptech-multipurpose/xmlrpc.php	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:04	80163/80163	---M-Z	200	added ('OK')	text/css	etag:%2213923-68cd5fd9-dfb44174e817484;gz%22	https://wp.ditsolution.net/toptech-multipurpose/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.5.2	./toptech1/wp.ditsolution.net/toptech-multipurpose/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend16b9.css	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:05	2947/2947	---M-Z	200	added ('OK')	text/css	etag:%22b83-68cd5fb9-b3a737c50b4a1677;gz%22	https://wp.ditsolution.net/toptech-multipurpose/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.1	./toptech1/wp.ditsolution.net/toptech-multipurpose/wp-content/plugins/contact-form-7/includes/css/styles6a4d.css	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:06	37263/37263	---MCZ	200	added ('OK')	application/rss+xml	etag:%2298f9b7e3d4f585fd659f4c1f72274a70%22	https://wp.ditsolution.net/toptech-multipurpose/feed/	./toptech1/wp.ditsolution.net/toptech-multipurpose/feed/index.html	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:06	821/821	---M-Z	200	added ('OK')	application/rss+xml	etag:%2298f9b7e3d4f585fd659f4c1f72274a70%22	https://wp.ditsolution.net/toptech-multipurpose/comments/feed/	./toptech1/wp.ditsolution.net/toptech-multipurpose/comments/feed/index.html	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:06	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-68cd5fd9-48177a4532cb4ff6;gz%22	https://wp.ditsolution.net/toptech-multipurpose/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.5.2	./toptech1/wp.ditsolution.net/toptech-multipurpose/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor16b9.css	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:08	21256/21256	---M-Z	200	added ('OK')	text/css	etag:%225308-68cd5fc3-419aaedf98503988;gz%22	https://wp.ditsolution.net/toptech-multipurpose/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.44.0	./toptech1/wp.ditsolution.net/toptech-multipurpose/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine085.css	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:09	53755/53755	---M-Z	200	added ('OK')	text/css	etag:%22d1fb-68dd5b4c-682cd3e99e4556a9;gz%22	https://wp.ditsolution.net/toptech-multipurpose/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1759337292	./toptech1/wp.ditsolution.net/toptech-multipurpose/wp-content/uploads/elementor/css/custom-frontend.min59b9.css	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:10	11871/11871	---M--	200	added ('OK')	image/jpeg	etag:%222e5f-66f3db94-ae7b900bf4b1e395;;;%22	https://wp.ditsolution.net/toptech-multipurpose/wp-content/uploads/2024/09/about-shape.jpg	./toptech1/wp.ditsolution.net/toptech-multipurpose/wp-content/uploads/2024/09/about-shape.jpg	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:12	15566/15566	---M--	200	added ('OK')	image/png	etag:%223cce-66f3d7c1-7633f4e439842121;;;%22	https://wp.ditsolution.net/toptech-multipurpose/wp-content/uploads/2024/09/it-solution-testi-bg.png	./toptech1/wp.ditsolution.net/toptech-multipurpose/wp-content/uploads/2024/09/it-solution-testi-bg.png	(from https://wp.ditsolution.net/toptech-multipurpose/)
16:34:12	51129/51129	---M--	200	added ('OK')	image/png	etag:%22c7b9-66f3dab0-fb016e4b3fe5011d;;;%22	https://wp.ditsolution.net/toptech-multipurpose/wp-content/uploads/2023/12/it-solution-footer-bg.png	./toptech1/wp.ditsolution.net/toptech-multipurpose/wp-content/uploads/2023/12/it-solution-footer-bg.png	(from https://wp.ditsolution.net/toptech-multipurpose/)
